"","id","JS1","OC1","OC2","EP1","OC3","OC4","EP2","EP3","AC1","EP4","JS2","JS3","AC2","SI1","JS4","SI2","JS5","AC3","SI3","AC4","SI4","C1","C2","C3","AGE","EXP","JP","evasao"
"117",117,6,6,10,10,10,10,10,10,2,7,5,6,5,4,4,4,65.8126914234458,3,3,4,3,2,2,1,44.8745012899698,8.36808313644944,5,FALSE
"118",118,2,4,8,7,7,7,7,7,2,6,2,2,4,3,2,3,24.3365941739053,1,2,2,2,2,2,1,43.8580908091473,7.63064715745227,5,FALSE
"119",119,4,5,9,7,8,10,0,8,1,3,4,4,1,5,3,5,79.9372718700963,1,5,2,3,2,1,1,51.926856076373,8.65166426648726,5,FALSE
"120",120,2,0,4,7,7,2,7,7,1,1,3,2,1,1,2,1,60.7038005004225,1,1,1,1,2,2,1,34.8239029682509,10.6260074232979,5,FALSE
"121",121,4,3,8,9,8,8,10,9,3,6,4,3,2,5,5,5,91.7387291440737,3,4,3,4,2,1,1,36.6043074023873,4.69067395551989,3,FALSE
"122",122,3,4,9,9,9,9,9,9,3,6,3,3,4,4,2,4,43.1003802583229,2,4,4,4,2,2,1,47.9164350506001,7.66311358044161,5,TRUE
"123",123,5,7,8,8,8,10,10,8,2,7,5,4,2,5,2,5,60.5013311878166,1,3,3,4,2,1,1,52.2230586892981,11.3339041443899,3,FALSE
"124",124,5,9,9,9,9,7,9,9,3,6,4,2,1,4,2,4,72.4054723130023,2,3,1,2,2,1,1,31.7772146441902,5.85110227125455,5,FALSE
"125",125,4,4,7,7,7,7,7,7,1,4,3,4,2,3,1,4,47.0010010678697,2,2,4,3,2,2,1,58.0213820033059,6.85214438763706,1,FALSE
"126",126,5,9,8,8,8,7,9,9,1,5,5,2,1,1,2,3,35.2286335561503,3,2,3,3,2,1,1,46.5993375006686,0.334597643116743,5,FALSE
"127",127,4,0,6,9,6,6,10,10,3,5,4,2,2,4,4,4,18.0034190384948,1,3,1,4,2,2,1,29.5112965485553,7.81377258467227,5,FALSE
"128",128,3,0,5,6,5,6,6,6,1,2,3,5,2,3,2,3,36.1931358176374,1,3,1,2,2,2,1,30.4453069769704,9.06954461154565,4,FALSE
"129",129,5,10,8,9,9,9,9,9,1,6,3,3,2,3,2,4,94.3029506871403,1,2,2,3,2,2,1,38.9246589581038,5.86242528197639,5,TRUE
"130",130,4,4,9,4,9,8,5,8,1,4,4,3,1,4,2,3,29.8464028103029,2,3,2,3,2,2,1,52.8349811148275,10.0501959767364,5,FALSE
"131",131,4,6,9,7,9,9,9,9,2,6,5,3,3,4,2,3,40.6425515648715,1,3,1,3,2,2,1,40.1155848774376,8.37729243648693,3,FALSE
"132",132,7,0,9,8,9,9,9,9,1,6,6,4,3,4,4,4,78.8166755433314,2,3,4,3,2,2,1,54.2898832391701,12.8921873073365,5,FALSE
"133",133,7,3,8,8,8,8,8,8,3,5,7,6,3,4,5,4,83.8103443577762,2,2,3,3,2,1,1,39.8523242322904,8.52457553871911,5,FALSE
"134",134,4,4,7,4,7,7,2,6,3,3,3,3,1,3,1,1,48.2675637708616,1,1,2,1,2,2,1,49.8866652949821,6.87177410093266,5,FALSE
"135",135,5,2,9,9,9,9,9,9,2,6,2,3,3,4,3,4,42.8214651921055,2,4,3,4,2,2,1,44.8198168542434,3.98370868446424,3,TRUE
"136",136,5,7,9,7,9,9,8,8,1,5,4,4,2,4,3,4,60.6234817158622,2,3,1,3,2,1,1,37.542109854999,13.5947203772919,2,TRUE
"137",137,3,6,10,8,10,10,9,9,2,7,2,3,3,4,1,4,29.6277532527892,2,3,3,3,2,2,1,44.0065004025048,6.47792310853671,5,FALSE
"138",138,5,6,10,9,10,10,8,10,2,7,5,6,3,5,5,3,60.7682011986274,3,3,4,3,2,2,1,51.0220113052428,6.62850425145542,5,TRUE
"139",139,2,5,8,8,8,8,7,8,2,5,3,3,1,4,1,3,40.08100892156,1,3,1,3,2,1,1,46.957166802475,3.07552811474159,4,TRUE
"140",140,4,6,7,8,7,8,8,8,2,5,6,5,3,3,4,3,70.8927072153379,3,3,2,3,2,2,1,43.4457574635696,9.48188387753641,4,FALSE
"141",141,5,6,10,10,10,10,10,10,2,7,3,4,2,5,4,5,61.0741713077793,2,5,2,5,2,2,1,36.8851818565045,6.49211889971563,5,TRUE
"142",142,5,4,10,9,10,10,10,10,2,5,4,2,1,5,3,4,47.7145573648972,1,3,2,3,2,2,1,43.9700904859221,7.26821144365858,5,TRUE
"143",143,7,5,5,8,8,7,8,8,1,5,5,4,1,4,3,4,67.2141189852275,1,3,1,3,2,1,1,47.7042458630172,10.4318841281787,5,TRUE
"144",144,2,4,5,5,8,8,5,5,1,2,2,1,2,4,1,5,13.3252660145724,1,4,1,3,2,2,1,39.2240501946308,10.7734951036783,2,TRUE
"145",145,5,7,10,10,10,10,10,10,3,7,6,6,1,5,5,5,77.8887161917995,1,4,3,5,2,1,1,49.7323360036608,10.3265389896298,5,FALSE
"146",146,3,6,8,5,8,8,4,5,1,1,4,2,1,5,2,5,64.1090126280868,1,3,1,3,2,2,1,44.130170984506,11.4623599062936,3,FALSE
"147",147,5,6,9,7,9,9,9,9,3,6,5,4,1,4,5,3,59.1442849921828,1,3,3,2,2,2,1,48.2368984507693,8.04164668987898,5,TRUE
"148",148,5,2,8,7,8,8,8,8,3,4,5,3,3,3,4,3,45.4539797706581,4,2,3,2,2,2,1,38.2619226162705,11.0592310370588,5,FALSE
"149",149,5,5,10,5,8,8,8,8,4,5,5,3,3,4,3,4,67.7650373441523,2,3,2,3,2,1,1,39.3153668228026,4.35261514068369,4,FALSE
"150",150,5,6,6,7,5,8,7,9,1,5,7,4,2,4,5,4,96.5292014782688,2,3,2,2,2,2,1,37.2599060288422,7.30483170956421,5,FALSE
"151",151,3,1,0,4,9,0,6,6,1,3,4,3,1,2,4,2,17.1750768392478,1,2,1,1,2,1,1,36.2884061239167,6.62099358800442,2,FALSE
"152",152,7,8,10,10,10,10,10,10,1,7,5,5,3,4,5,5,73.9577410266566,1,4,3,4,2,2,1,47.612526877928,14.9180378332039,5,FALSE
"153",153,4,4,10,10,10,10,10,10,2,7,5,4,1,5,2,5,61.1682666349672,2,3,2,5,2,2,1,41.5554504878951,12.6576890372933,5,TRUE
"154",154,5,2,9,7,9,9,8,8,2,4,4,4,3,3,2,3,73.7293405093152,2,2,4,3,2,2,1,54.9593682593662,11.4937004896125,5,TRUE
"155",155,4,7,9,9,9,9,9,9,1,5,4,5,4,4,3,5,38.8383651439648,2,3,4,4,2,1,1,56.3684800794227,9.96570567165465,5,FALSE
"156",156,7,8,10,10,10,10,10,10,3,7,6,5,3,5,4,5,79.5918240682631,3,5,2,4,2,2,1,40.2488736109199,8.47631437637762,5,TRUE
"157",157,4,6,8,7,8,8,7,7,1,4,2,3,2,4,2,4,27.4132993313561,1,2,1,3,2,2,1,40.1262274833066,9.52159991557582,5,FALSE
"158",158,4,5,10,10,10,10,10,10,1,7,3,4,2,5,4,5,53.2058057071667,2,5,2,4,2,1,1,37.9278304520157,13.1927444665018,5,FALSE
"159",159,4,2,10,10,10,10,10,10,1,7,2,1,1,5,1,5,37.8540494676802,1,5,1,3,2,2,1,36.394231421577,8.00646629722258,3,TRUE
"160",160,4,7,9,10,9,9,10,10,3,7,6,4,5,5,4,5,74.2740628652489,2,3,5,4,2,1,1,56.390256399758,15.1078117080914,5,TRUE
"161",161,4,7,9,9,9,9,9,9,3,6,5,4,1,3,3,3,73.1026682065696,1,2,5,3,2,1,1,61.8747038926797,9.16439157387405,5,FALSE
"162",162,4,4,10,9,10,10,10,10,3,7,3,5,2,5,2,5,58.1898356961002,3,5,2,5,2,2,1,45.9203496243512,13.9888436282336,4,TRUE
"163",163,5,1,5,7,7,7,5,5,1,2,4,2,1,4,3,4,44.9215841674052,2,2,1,1,2,1,1,42.2869158548201,7.33198633448396,2,FALSE
"164",164,6,6,10,0,10,10,10,10,4,7,5,4,4,5,4,5,60.395273245957,3,5,6,5,2,2,1,60.2012076891994,25,5,TRUE
"165",165,5,6,10,9,10,10,10,9,4,7,5,5,3,5,3,5,60.5436936462111,3,5,4,5,2,2,1,53.3175727766155,7.20474769504749,5,TRUE
"166",166,3,7,9,9,9,9,9,9,1,6,3,2,1,4,2,4,30.7525919192646,1,4,1,4,2,1,1,37.4614862178056,5.70915972480776,5,FALSE
"167",167,5,5,10,10,10,10,10,10,2,7,5,4,3,5,2,5,55.9257411795218,3,5,2,5,2,1,1,42.4907649331579,10.6182352079147,4,TRUE
"168",168,5,6,10,10,10,10,10,10,1,7,6,4,2,5,4,5,42.2560691037867,2,3,2,5,2,2,1,43.9443267921873,7.92812227404529,5,TRUE
"169",169,5,0,8,7,7,7,7,8,2,4,5,2,1,3,3,4,48.6229420578739,1,3,1,3,2,2,1,46.9064526988805,7.74014654240862,5,FALSE
