funcionario;status;idade;prim_emp;teste;educ
X1104;bom;25a45;nao;96;secundario
X1105;bom;25a45;sim;84;secundario
X1106;bom;25a45;nao;42;secundario
X1107;bom;25a45;nao;96;secundario
X1108;bom;maior45;nao;76;secundario
X1109;bom;25a45;sim;78;secundario
X1110;bom;25a45;sim;95;secundario
X1111;bom;25a45;nao;81;secundario
X1112;bom;25a45;nao;80;secundario
X1113;bom;maior45;nao;69;secundario
X1114;bom;25a45;sim;74;secundario
X1115;bom;25a45;sim;98;secundario
X1116;bom;maior45;sim;69;secundario
X1117;bom;maior45;nao;69;secundario
X1118;bom;25a45;nao;66;secundario
X1119;bom;25a45;sim;62;superior
X1120;bom;25a45;nao;78;secundario
X1121;bom;25a45;nao;87;secundario
X1122;bom;maior45;nao;82;superior
X1123;bom;maior45;nao;50;superior
X1124;bom;25a45;sim;64;superior
X1125;bom;25a45;sim;76;secundario
X1126;bom;25a45;sim;83;secundario
X1127;bom;25a45;sim;96;superior
X1128;bom;maior45;nao;93;superior
X1129;bom;menor25;sim;94;secundario
X1130;bom;25a45;nao;94;secundario
X1131;bom;menor25;nao;96;superior
X1132;bom;maior45;sim;63;secundario
X1133;bom;menor25;nao;97;secundario
X1134;bom;menor25;sim;97;secundario
X1135;bom;maior45;sim;64;secundario
X1136;bom;menor25;sim;99;secundario
X1137;bom;25a45;nao;78;secundario
X1138;bom;25a45;nao;93;superior
X1139;bom;menor25;sim;96;secundario
X1140;bom;25a45;nao;90;superior
X1141;bom;25a45;sim;59;secundario
X1142;bom;25a45;sim;88;secundario
X1143;bom;maior45;sim;40;secundario
X1144;bom;maior45;nao;54;secundario
X1145;bom;25a45;sim;78;secundario
X1146;bom;25a45;nao;94;secundario
X1147;bom;25a45;sim;81;secundario
X1148;bom;maior45;sim;58;secundario
X1149;bom;maior45;nao;69;secundario
X1150;bom;maior45;sim;76;secundario
X1151;bom;25a45;sim;82;secundario
X1152;bom;maior45;nao;79;secundario
X1153;bom;maior45;nao;66;secundario
X1154;bom;maior45;sim;64;secundario
X1155;bom;maior45;nao;79;superior
X1156;bom;25a45;nao;58;secundario
X1157;bom;maior45;nao;74;secundario
X1158;bom;25a45;sim;90;secundario
X1159;bom;25a45;sim;67;superior
X1160;bom;25a45;sim;77;secundario
X1161;bom;25a45;nao;76;secundario
X1162;bom;menor25;nao;95;secundario
X1163;bom;maior45;nao;31;superior
X1164;bom;25a45;nao;82;secundario
X1165;bom;maior45;nao;72;secundario
X1166;bom;maior45;sim;76;secundario
X1167;bom;maior45;nao;65;superior
X1168;bom;menor25;nao;97;superior
X1169;bom;maior45;nao;76;secundario
X1170;bom;maior45;sim;81;secundario
X1171;bom;25a45;nao;79;secundario
X1172;bom;menor25;sim;94;secundario
X1173;bom;25a45;nao;66;superior
X1174;bom;maior45;nao;71;secundario
X1175;bom;25a45;nao;77;secundario
X1176;bom;maior45;sim;74;secundario
X1177;bom;25a45;nao;77;secundario
X1178;bom;25a45;nao;72;secundario
X1179;bom;maior45;sim;77;secundario
X1180;bom;maior45;nao;64;secundario
X1181;bom;25a45;nao;79;secundario
X1182;bom;25a45;sim;90;secundario
X1183;bom;maior45;nao;63;secundario
X1184;bom;25a45;nao;95;secundario
X1185;bom;maior45;nao;73;secundario
X1186;bom;25a45;nao;92;secundario
X1187;bom;maior45;sim;90;secundario
X1188;bom;maior45;sim;58;secundario
X1189;bom;25a45;nao;78;secundario
X1190;bom;maior45;nao;96;secundario
X1191;bom;25a45;sim;99;secundario
X1192;bom;menor25;nao;95;secundario
X1193;bom;menor25;nao;93;secundario
X1194;bom;25a45;nao;73;secundario
X1195;bom;25a45;nao;86;secundario
X1196;bom;25a45;nao;85;secundario
X1197;bom;25a45;nao;95;secundario
X1198;bom;maior45;sim;62;secundario
X1199;bom;25a45;sim;96;secundario
X1200;bom;menor25;sim;92;secundario
X1201;bom;25a45;nao;76;secundario
X1202;bom;25a45;nao;91;secundario
X1203;bom;25a45;sim;97;secundario
X1204;bom;maior45;nao;57;secundario
X1205;bom;maior45;nao;76;superior
X1206;bom;menor25;nao;91;secundario
X1207;bom;25a45;nao;81;secundario
X1208;bom;maior45;nao;83;secundario
X1209;bom;25a45;sim;40;superior
X1210;bom;menor25;sim;98;secundario
X1211;bom;maior45;nao;80;secundario
X1212;bom;25a45;nao;97;secundario
X1213;bom;25a45;sim;91;secundario
X1214;bom;maior45;sim;88;secundario
X1215;bom;25a45;nao;98;secundario
X1216;bom;menor25;nao;98;secundario
X1217;bom;25a45;sim;82;superior
X1218;bom;25a45;sim;75;secundario
X1219;bom;maior45;sim;67;superior
X1220;bom;25a45;nao;98;secundario
X1221;bom;25a45;nao;93;secundario
X1222;bom;maior45;nao;56;superior
X1223;bom;25a45;nao;72;secundario
X1224;bom;maior45;sim;73;secundario
X1225;bom;maior45;nao;89;secundario
X1226;bom;maior45;nao;61;secundario
X1227;bom;maior45;nao;94;superior
X1228;bom;25a45;sim;84;secundario
X1229;bom;25a45;sim;72;secundario
X1230;bom;25a45;nao;66;secundario
X1231;bom;25a45;sim;75;secundario
X1232;bom;maior45;sim;57;secundario
X1233;bom;maior45;nao;77;secundario
X1234;bom;25a45;nao;74;secundario
X1235;bom;25a45;sim;78;superior
X1236;bom;25a45;nao;83;secundario
X1237;bom;maior45;nao;67;secundario
X1238;bom;25a45;nao;87;secundario
X1239;bom;menor25;nao;95;secundario
X1240;bom;maior45;nao;82;secundario
X1241;bom;25a45;nao;80;secundario
X1242;bom;25a45;sim;65;secundario
X1243;bom;25a45;nao;87;secundario
X1244;bom;25a45;nao;77;superior
X1245;bom;25a45;nao;89;secundario
X1246;bom;25a45;sim;93;superior
X1247;bom;25a45;sim;94;secundario
X1248;bom;25a45;sim;88;secundario
X1249;bom;maior45;sim;78;superior
X1250;bom;maior45;nao;59;secundario
X1251;bom;menor25;nao;93;secundario
X1252;bom;25a45;nao;83;secundario
X1253;bom;maior45;sim;50;superior
X1254;bom;maior45;nao;73;superior
X1255;bom;maior45;nao;83;superior
X1256;bom;maior45;nao;93;secundario
X1257;bom;25a45;nao;79;secundario
X1258;bom;25a45;nao;71;secundario
X1259;bom;menor25;sim;92;secundario
X1260;bom;25a45;nao;67;secundario
X1261;bom;25a45;sim;95;secundario
X1262;bom;25a45;sim;73;secundario
X1263;bom;maior45;nao;81;secundario
X1264;bom;25a45;nao;77;superior
X1265;bom;25a45;nao;86;secundario
X1266;bom;maior45;nao;78;superior
X1267;bom;menor25;nao;98;secundario
X1268;bom;25a45;sim;77;superior
X1269;bom;25a45;nao;64;superior
X1270;bom;maior45;nao;51;secundario
X1271;bom;maior45;sim;58;secundario
X1272;bom;25a45;nao;88;secundario
X1273;bom;25a45;sim;68;secundario
X1274;bom;maior45;nao;72;secundario
X1275;bom;25a45;nao;94;secundario
X1276;bom;25a45;nao;74;secundario
X1277;bom;maior45;sim;84;secundario
X1278;bom;maior45;sim;59;secundario
X1279;bom;25a45;nao;79;superior
X1280;bom;maior45;sim;73;secundario
X1281;bom;25a45;nao;76;secundario
X1282;bom;maior45;sim;93;secundario
X1283;bom;maior45;nao;75;secundario
X1284;bom;25a45;sim;87;secundario
X1285;bom;menor25;sim;95;secundario
X1286;bom;25a45;nao;78;superior
X1287;bom;25a45;nao;65;secundario
X1288;bom;maior45;sim;80;secundario
X1289;bom;25a45;sim;89;secundario
X1290;bom;25a45;sim;64;superior
X1291;bom;menor25;nao;97;secundario
X1292;bom;maior45;nao;79;secundario
X1293;bom;25a45;nao;71;secundario
X1294;bom;maior45;sim;79;secundario
X1295;bom;25a45;sim;88;secundario
X1296;bom;maior45;sim;44;secundario
X1297;bom;25a45;nao;63;secundario
X1298;bom;25a45;nao;88;superior
X1299;bom;25a45;nao;76;secundario
X1300;bom;25a45;nao;80;secundario
X1301;bom;25a45;nao;53;superior
X1302;bom;25a45;nao;79;secundario
X1303;bom;maior45;sim;65;superior
X1304;bom;25a45;sim;88;secundario
X1305;bom;maior45;sim;70;secundario
X1306;bom;menor25;sim;96;secundario
X1307;bom;25a45;sim;94;secundario
X1308;bom;maior45;nao;83;secundario
X1309;bom;25a45;sim;99;secundario
X1310;bom;25a45;sim;83;secundario
X1311;bom;maior45;sim;61;secundario
X1312;bom;25a45;sim;98;superior
X1313;bom;maior45;nao;73;secundario
X1314;bom;25a45;nao;79;secundario
X1315;bom;25a45;sim;78;secundario
X1316;bom;menor25;nao;97;superior
X1317;bom;25a45;nao;90;secundario
X1318;bom;maior45;nao;44;superior
X1319;bom;25a45;sim;87;secundario
X1320;bom;menor25;nao;78;secundario
X1321;bom;25a45;sim;91;secundario
X1322;bom;25a45;sim;96;secundario
X1323;bom;maior45;nao;79;secundario
X1324;bom;maior45;sim;79;secundario
X1325;bom;menor25;nao;96;secundario
X1326;bom;25a45;nao;73;secundario
X1327;bom;maior45;nao;77;secundario
X1328;bom;maior45;nao;80;secundario
X1329;bom;maior45;sim;75;secundario
X1330;bom;25a45;nao;59;superior
X1331;bom;maior45;nao;91;secundario
X1332;bom;menor25;nao;97;secundario
X1333;bom;25a45;nao;68;secundario
X1334;bom;25a45;nao;88;secundario
X1335;bom;25a45;nao;90;secundario
X1336;bom;25a45;nao;82;superior
X1337;bom;25a45;nao;71;superior
X1338;bom;25a45;sim;74;secundario
X1339;bom;25a45;nao;71;secundario
X1340;bom;25a45;nao;58;secundario
X1341;bom;maior45;sim;97;secundario
X1342;bom;25a45;nao;72;secundario
X1343;bom;maior45;nao;66;secundario
X1344;bom;25a45;sim;72;secundario
X1345;bom;maior45;sim;67;secundario
X1346;bom;25a45;nao;88;secundario
X1347;bom;25a45;nao;92;secundario
X1348;bom;25a45;nao;63;superior
X1349;bom;25a45;sim;84;secundario
X1350;bom;25a45;sim;67;secundario
X1351;bom;menor25;nao;97;secundario
X1352;bom;maior45;sim;94;secundario
X1353;bom;25a45;sim;83;secundario
X1354;bom;25a45;sim;83;secundario
X1355;bom;maior45;sim;57;secundario
X1356;bom;25a45;nao;79;secundario
X1357;bom;maior45;sim;84;secundario
X1358;bom;maior45;sim;49;secundario
X1359;bom;25a45;nao;80;secundario
X1360;bom;25a45;nao;70;secundario
X1361;bom;maior45;nao;73;secundario
X1362;bom;25a45;nao;81;secundario
X1363;bom;maior45;nao;80;secundario
X1364;bom;25a45;nao;84;superior
X1365;bom;25a45;nao;83;secundario
X1366;bom;maior45;nao;64;secundario
X1367;bom;25a45;nao;80;superior
X1368;bom;25a45;nao;62;secundario
X1369;bom;menor25;nao;89;secundario
X1370;bom;maior45;sim;77;secundario
X1371;bom;25a45;nao;78;secundario
X1372;bom;maior45;sim;79;secundario
X1373;bom;menor25;nao;98;secundario
X1374;bom;maior45;nao;81;secundario
X1375;bom;menor25;nao;93;secundario
X1376;bom;maior45;sim;57;secundario
X1377;bom;25a45;nao;80;secundario
X1378;bom;menor25;nao;96;secundario
X1379;bom;25a45;sim;83;superior
X1380;bom;25a45;nao;96;secundario
X1381;bom;maior45;nao;62;secundario
X1382;bom;25a45;sim;77;secundario
X1383;bom;25a45;nao;97;superior
X1384;bom;25a45;nao;62;secundario
X1385;bom;maior45;nao;78;secundario
X1386;bom;maior45;nao;79;secundario
X1387;bom;menor25;nao;96;secundario
X1388;bom;25a45;nao;73;secundario
X1389;bom;menor25;sim;97;superior
X1390;bom;maior45;nao;82;secundario
X1391;bom;25a45;sim;93;superior
X1392;bom;menor25;sim;52;secundario
X1393;bom;menor25;nao;98;secundario
X1394;bom;25a45;sim;65;secundario
X1395;bom;25a45;sim;74;secundario
X1396;bom;maior45;sim;66;secundario
X1397;bom;maior45;nao;78;superior
X1398;bom;25a45;nao;79;secundario
X1399;bom;25a45;nao;98;secundario
X1400;bom;25a45;sim;78;secundario
X1401;bom;maior45;nao;65;secundario
X1402;bom;25a45;nao;65;secundario
X1403;bom;25a45;nao;83;secundario
X1404;bom;maior45;nao;80;superior
X1405;bom;maior45;nao;66;superior
X1406;bom;25a45;nao;93;superior
X1407;bom;maior45;sim;71;secundario
X1408;bom;25a45;nao;60;secundario
X1409;bom;25a45;sim;81;secundario
X1410;bom;maior45;sim;73;secundario
X1411;bom;25a45;nao;78;secundario
X1412;bom;maior45;sim;60;secundario
X1413;bom;25a45;nao;72;secundario
X1414;bom;maior45;sim;74;secundario
X1415;bom;25a45;nao;83;secundario
X1416;bom;25a45;nao;71;secundario
X1417;bom;25a45;sim;79;secundario
X1418;bom;menor25;sim;95;secundario
X1419;bom;menor25;nao;98;superior
X1420;bom;menor25;nao;98;secundario
X1421;bom;25a45;nao;60;superior
X1422;bom;25a45;sim;80;secundario
X1423;bom;25a45;sim;74;secundario
X1424;bom;maior45;nao;79;secundario
X1425;bom;25a45;nao;82;secundario
X1426;bom;25a45;nao;91;secundario
X1427;bom;25a45;nao;78;secundario
X1428;bom;maior45;sim;73;secundario
X1429;bom;25a45;nao;72;secundario
X1430;bom;maior45;nao;76;superior
X1431;bom;25a45;sim;64;secundario
X1432;bom;25a45;sim;80;superior
X1433;bom;25a45;nao;58;superior
X1434;bom;maior45;nao;80;secundario
X1435;bom;25a45;nao;79;secundario
X1436;bom;25a45;nao;84;secundario
X1437;bom;menor25;nao;96;secundario
X1438;bom;25a45;nao;78;superior
X1439;bom;25a45;sim;72;secundario
X1440;bom;maior45;sim;83;secundario
X1441;bom;maior45;nao;42;secundario
X1442;bom;maior45;sim;73;secundario
X1443;bom;maior45;sim;65;superior
X1444;bom;25a45;nao;93;secundario
X1445;bom;25a45;nao;90;secundario
X1446;bom;maior45;sim;90;secundario
X1447;bom;25a45;sim;66;secundario
X1448;bom;menor25;nao;97;superior
X1449;bom;25a45;nao;75;superior
X1450;bom;maior45;sim;55;secundario
X1451;bom;25a45;nao;91;secundario
X1452;bom;25a45;sim;78;secundario
X1453;bom;25a45;sim;85;secundario
X1454;bom;25a45;nao;76;superior
X1455;bom;maior45;nao;79;secundario
X1456;bom;maior45;sim;74;secundario
X1457;bom;25a45;sim;94;secundario
X1458;bom;25a45;nao;80;secundario
X1459;bom;25a45;nao;85;secundario
X1460;bom;25a45;sim;82;secundario
X1461;bom;maior45;nao;56;secundario
X1462;bom;25a45;nao;78;secundario
X1463;bom;25a45;nao;89;secundario
X1464;bom;25a45;nao;76;secundario
X1465;bom;maior45;sim;43;secundario
X1466;bom;menor25;nao;96;secundario
X1467;bom;maior45;nao;79;superior
X1468;bom;maior45;nao;86;superior
X1469;bom;maior45;nao;77;secundario
X1470;bom;25a45;nao;81;secundario
X1471;bom;25a45;sim;76;secundario
X1472;bom;maior45;nao;65;secundario
X1473;bom;25a45;sim;75;secundario
X1474;bom;maior45;sim;57;secundario
X1475;bom;maior45;sim;77;secundario
X1476;bom;25a45;nao;73;secundario
X1477;bom;25a45;nao;75;secundario
X1478;bom;25a45;nao;45;superior
X1479;bom;25a45;nao;79;superior
X1480;bom;maior45;nao;66;secundario
X1481;bom;maior45;nao;87;secundario
X1482;bom;25a45;nao;98;secundario
X1483;bom;25a45;nao;85;secundario
X1484;bom;25a45;nao;42;superior
X1485;bom;maior45;nao;73;superior
X1486;bom;maior45;sim;65;secundario
X1487;bom;25a45;nao;87;secundario
X1488;bom;maior45;sim;65;superior
X1489;bom;25a45;nao;52;superior
X1490;bom;menor25;sim;89;secundario
X1491;bom;25a45;sim;83;secundario
X1492;bom;25a45;nao;62;secundario
X1493;bom;maior45;sim;77;secundario
X1494;bom;maior45;nao;98;secundario
X1495;bom;25a45;sim;77;secundario
X1496;bom;maior45;sim;89;secundario
X1497;bom;25a45;nao;80;superior
X1498;bom;25a45;sim;98;secundario
X1499;bom;25a45;sim;94;secundario
X1500;bom;menor25;sim;98;secundario
X1501;bom;25a45;sim;90;secundario
X1502;bom;25a45;nao;77;secundario
X1503;bom;maior45;nao;79;superior
X1504;bom;25a45;sim;49;secundario
X1505;bom;25a45;nao;81;secundario
X1506;bom;maior45;nao;66;secundario
X1507;bom;maior45;nao;67;secundario
X1508;bom;maior45;nao;69;superior
X1509;bom;maior45;sim;79;secundario
X1510;bom;25a45;nao;80;superior
X1511;bom;maior45;nao;67;secundario
X1512;bom;25a45;nao;74;secundario
X1513;bom;25a45;nao;67;secundario
X1514;bom;25a45;sim;80;secundario
X1515;bom;maior45;nao;90;secundario
X1516;bom;menor25;sim;91;superior
X1517;bom;menor25;sim;99;secundario
X1518;bom;25a45;sim;83;secundario
X1519;bom;maior45;sim;70;secundario
X1520;bom;25a45;nao;81;secundario
X1521;bom;25a45;nao;78;secundario
X1522;bom;25a45;sim;80;superior
X1523;bom;25a45;sim;84;secundario
X1524;bom;25a45;sim;76;secundario
X1525;bom;25a45;sim;89;secundario
X1526;bom;maior45;nao;74;secundario
X1527;bom;25a45;nao;78;secundario
X1528;bom;maior45;nao;70;secundario
X1529;bom;25a45;nao;81;superior
X1530;bom;25a45;nao;72;secundario
X1531;bom;25a45;nao;74;superior
X1532;bom;25a45;sim;80;secundario
X1533;bom;menor25;sim;90;secundario
X1534;bom;25a45;sim;78;secundario
X1535;bom;maior45;nao;92;superior
X1536;bom;maior45;nao;56;secundario
X1537;bom;25a45;nao;65;secundario
X1538;bom;25a45;sim;80;secundario
X1539;bom;25a45;nao;76;secundario
X1540;bom;25a45;nao;96;secundario
X1541;bom;menor25;nao;99;secundario
X1542;bom;maior45;nao;95;secundario
X1543;bom;25a45;sim;72;superior
X1544;bom;25a45;nao;83;secundario
X1545;bom;25a45;sim;95;secundario
X1546;bom;25a45;sim;72;superior
X1547;bom;menor25;nao;97;superior
X1548;bom;maior45;nao;68;secundario
X1549;bom;25a45;nao;77;superior
X1550;bom;25a45;sim;65;secundario
X1551;bom;25a45;nao;85;secundario
X1552;bom;maior45;sim;55;superior
X1553;bom;maior45;nao;74;secundario
X1554;bom;25a45;sim;79;secundario
X1555;bom;25a45;nao;65;superior
X1556;bom;25a45;nao;72;secundario
X1557;bom;25a45;nao;93;secundario
X1558;bom;maior45;nao;79;secundario
X1559;bom;25a45;sim;92;secundario
X1560;bom;maior45;sim;92;secundario
X1561;bom;25a45;nao;88;superior
X1562;bom;25a45;nao;84;secundario
X1563;bom;maior45;sim;79;secundario
X1564;bom;25a45;sim;79;superior
X1565;bom;menor25;sim;96;secundario
X1566;bom;menor25;nao;96;secundario
X1567;bom;25a45;sim;55;secundario
X1568;bom;25a45;nao;67;secundario
X1569;bom;maior45;nao;60;secundario
X1570;bom;25a45;sim;73;secundario
X1571;bom;25a45;sim;88;secundario
X1572;bom;25a45;nao;77;secundario
X1573;bom;maior45;sim;57;secundario
X1574;bom;maior45;sim;94;secundario
X1575;bom;25a45;sim;76;secundario
X1576;bom;maior45;sim;63;secundario
X1577;bom;25a45;nao;79;secundario
X1578;bom;25a45;nao;82;secundario
X1579;bom;maior45;nao;58;secundario
X1580;bom;menor25;sim;93;superior
X1581;bom;25a45;sim;97;superior
X1582;bom;25a45;nao;79;secundario
X1583;bom;menor25;nao;93;secundario
X1584;bom;maior45;nao;78;secundario
X1585;bom;25a45;nao;83;secundario
X1586;bom;25a45;nao;85;secundario
X1587;bom;25a45;sim;92;secundario
X1588;bom;25a45;nao;82;secundario
X1589;bom;maior45;nao;70;secundario
X1590;bom;menor25;sim;95;secundario
X1591;bom;25a45;sim;81;secundario
X1592;bom;25a45;nao;84;secundario
X1593;bom;25a45;nao;90;superior
X1594;bom;menor25;nao;98;secundario
X1595;bom;maior45;nao;71;secundario
X1596;bom;maior45;nao;61;superior
X1597;bom;25a45;nao;90;secundario
X1598;bom;25a45;sim;93;superior
X1599;bom;25a45;nao;82;superior
X1600;bom;25a45;sim;80;superior
X1601;bom;25a45;sim;98;secundario
X1602;bom;25a45;nao;76;secundario
X1603;bom;25a45;nao;73;superior
X1604;bom;25a45;sim;87;secundario
X1605;bom;25a45;nao;95;secundario
X1606;bom;25a45;sim;80;secundario
X1607;bom;25a45;sim;78;superior
X1608;bom;maior45;sim;58;secundario
X1609;bom;25a45;nao;63;secundario
X1610;bom;maior45;sim;62;secundario
X1611;bom;25a45;nao;95;secundario
X1612;bom;25a45;sim;80;secundario
X1613;bom;25a45;sim;79;secundario
X1614;bom;25a45;nao;75;superior
X1615;bom;maior45;sim;79;secundario
X1616;bom;maior45;sim;56;secundario
X1617;bom;menor25;sim;98;secundario
X1618;bom;25a45;nao;74;secundario
X1619;bom;maior45;nao;41;secundario
X1620;bom;maior45;sim;56;secundario
X1621;bom;25a45;sim;77;superior
X1622;bom;25a45;sim;80;secundario
X1623;bom;25a45;nao;70;superior
X1624;bom;25a45;nao;84;superior
X1625;bom;25a45;sim;78;secundario
X1626;bom;25a45;sim;59;secundario
X1627;bom;maior45;nao;66;secundario
X1628;bom;maior45;nao;90;secundario
X1629;bom;25a45;sim;68;secundario
X1630;bom;maior45;nao;64;secundario
X1631;bom;menor25;nao;96;superior
X1632;bom;25a45;nao;76;secundario
X1633;bom;25a45;sim;79;secundario
X1634;bom;maior45;sim;76;secundario
X1635;bom;maior45;sim;96;secundario
X1636;bom;25a45;sim;75;secundario
X1637;bom;25a45;sim;80;superior
X1638;bom;25a45;sim;81;secundario
X1639;bom;maior45;sim;54;secundario
X1640;bom;maior45;nao;71;secundario
X1641;bom;maior45;nao;72;secundario
X1642;bom;25a45;sim;68;secundario
X1643;bom;maior45;sim;71;secundario
X1644;bom;25a45;nao;67;secundario
X1645;bom;menor25;sim;98;secundario
X1646;bom;25a45;sim;76;superior
X1647;bom;menor25;sim;95;secundario
X1648;bom;25a45;sim;80;superior
X1649;bom;25a45;nao;85;secundario
X1650;bom;25a45;sim;84;secundario
X1651;bom;25a45;nao;81;secundario
X1652;bom;maior45;nao;74;secundario
X1653;bom;25a45;sim;75;secundario
X1654;bom;maior45;nao;73;secundario
X1655;bom;25a45;sim;66;secundario
X1656;bom;25a45;nao;82;superior
X1657;bom;25a45;nao;97;superior
X1658;bom;25a45;nao;98;secundario
X1659;bom;25a45;nao;56;secundario
X1660;bom;maior45;sim;67;superior
X1661;bom;25a45;nao;91;secundario
X1662;bom;maior45;nao;57;secundario
X1663;bom;25a45;sim;75;secundario
X1664;bom;25a45;sim;73;superior
X1665;bom;maior45;nao;60;secundario
X1666;bom;maior45;nao;77;secundario
X1667;bom;25a45;nao;91;secundario
X1668;bom;25a45;sim;80;secundario
X1669;bom;maior45;nao;56;superior
X1670;bom;25a45;sim;68;secundario
X1671;bom;25a45;nao;56;superior
X1672;bom;25a45;sim;74;secundario
X1673;bom;maior45;sim;80;secundario
X1674;bom;maior45;sim;72;superior
X1675;bom;25a45;nao;82;secundario
X1676;bom;25a45;nao;94;secundario
X1677;bom;menor25;nao;98;secundario
X1678;bom;menor25;nao;98;secundario
X1679;bom;menor25;nao;99;superior
X1680;bom;maior45;sim;80;secundario
X1681;bom;25a45;nao;79;secundario
X1682;bom;maior45;sim;30;secundario
X1683;bom;maior45;sim;65;secundario
X1684;bom;maior45;sim;85;secundario
X1685;bom;25a45;nao;77;secundario
X1686;bom;25a45;sim;73;secundario
X1687;bom;25a45;nao;75;superior
X1688;bom;25a45;nao;97;secundario
X1689;bom;maior45;nao;64;secundario
X1690;bom;maior45;sim;72;superior
X1691;bom;25a45;sim;78;secundario
X1692;bom;maior45;nao;65;secundario
X1693;bom;25a45;nao;97;superior
X1694;bom;25a45;nao;96;secundario
X1695;bom;menor25;nao;94;superior
X1696;bom;25a45;nao;96;secundario
X1697;bom;25a45;nao;77;secundario
X1698;bom;25a45;nao;64;secundario
X1699;bom;menor25;nao;95;secundario
X1700;bom;25a45;nao;62;secundario
X1701;bom;maior45;sim;79;secundario
X1702;bom;maior45;sim;78;secundario
X1703;bom;25a45;nao;87;secundario
X1704;bom;maior45;sim;77;secundario
X1705;bom;maior45;nao;67;secundario
