IDENTIDADE;ALVO;STATUS;UF;ESCOLARIDADE;ESTCIV;RENDA;NATUREZA
MC1094;1;admpl;SP;primario;solt;1333;empregado
MC1095;0;inad;SP;primario;solt;1246;aposentado
MC1096;1;admpl;SP;superior;casado;809;func_publico
MC1097;0;inad;SP;primario;casado;1876;empregado
MC1098;1;admpl;MG;superior;solt;2656;empregado
MC1099;1;admpl;SP;secundario;solt;2548;func_publico
MC1100;1;admpl;SP;secundario;divorciado;1904;func_publico
MC1101;1;admpl;SP;superior;solt;1965;func_publico
MC1102;0;inad;SP;primario;solt;2278;outros
MC1103;1;admpl;MG;secundario;casado;10452;func_publico
MC1104;1;admpl;MG;primario;solt;3334;empregado
MC1105;1;admpl;SP;superior;solt;1668;outros
MC1106;1;admpl;SP;secundario;solt;2680;func_publico
MC1107;0;inad;SP;posgrad;divorciado;2725;func_publico
MC1108;1;admpl;SP;posgrad;solt;2680;outros
MC1109;0;inad;SP;primario;solt;1072;empregado
MC1110;0;inad;SP;primario;viuvo;3065;empregado
MC1111;0;inad;SP;secundario;outros;1340;outros
MC1112;1;admpl;SP;secundario;viuvo;3289;empregado
MC1113;1;admpl;SP;secundario;solt;5360;outros
MC1114;0;inad;SP;secundario;solt;4579;func_publico
MC1115;1;admpl;SP;primario;solt;365;empregado
MC1116;1;admpl;SP;secundario;solt;1608;empregado
MC1117;1;admpl;SP;primario;solt;85;empregado
MC1118;1;admpl;SP;secundario;solt;25460;func_publico
MC1119;1;admpl;MG;secundario;solt;2341;func_publico
MC1120;1;admpl;SP;primario;solt;628;empregado
MC1121;1;admpl;SP;superior;solt;2010;empregado
MC1122;1;admpl;SP;superior;casado;8117;vivederenda
MC1123;1;admpl;SP;secundario;solt;3927;func_publico
MC1124;0;inad;SP;primario;casado;603;func_publico
MC1125;0;inad;SP;superior;solt;2412;aposentado
MC1126;0;inad;SP;secundario;casado;2751;func_publico
MC1127;1;admpl;SP;superior;solt;594;func_publico
MC1128;1;admpl;SP;secundario;casado;1742;func_publico
MC1129;0;inad;SP;primario;solt;1809;aposentado
MC1130;1;admpl;SP;posgrad;casado;1034;empregado
MC1131;0;inad;SP;primario;casado;3207;func_publico
MC1132;1;admpl;SP;secundario;casado;2010;func_publico
MC1133;1;admpl;SP;secundario;solt;6264;outros
MC1134;1;admpl;SP;posgrad;solt;4020;aposentado
MC1135;1;admpl;SP;secundario;solt;6834;empregado
MC1136;0;inad;SP;superior;solt;1848;empregado
MC1137;1;admpl;SP;secundario;solt;4912;func_publico
MC1138;1;admpl;SP;primario;solt;2591;empregado
MC1139;1;admpl;SP;primario;solt;2010;empregado
MC1140;1;admpl;SP;superior;solt;1167;empregado
MC1141;0;inad;SP;primario;viuvo;536;empregado
MC1142;1;admpl;SP;superior;solt;4609;empregado
MC1143;0;inad;SP;secundario;solt;2445;outros
MC1144;1;admpl;SP;superior;solt;1474;outros
MC1145;0;inad;SP;superior;solt;3025;func_publico
MC1146;0;inad;SP;superior;casado;1608;aposentado
MC1147;1;admpl;SP;posgrad;solt;6700;empregado
MC1148;1;admpl;SP;primario;solt;671;empregado
MC1149;0;inad;SP;secundario;solt;3350;empregado
MC1150;1;admpl;SP;secundario;casado;7370;func_publico
MC1151;1;admpl;SP;secundario;casado;1;empregado
MC1152;1;admpl;SP;primario;solt;739;func_publico
MC1153;0;inad;SP;secundario;casado;3149;aposentado
MC1154;1;admpl;SP;superior;casado;2010;empregado
MC1155;0;inad;SP;secundario;solt;16080;empregado
MC1156;0;inad;SP;secundario;solt;3288;func_publico
MC1157;1;admpl;SP;posgrad;solt;2611;empregado
MC1158;0;inad;SP;primario;divorciado;778;aposentado
MC1159;1;admpl;SP;secundario;solt;3143;empregado
MC1160;1;admpl;SP;secundario;solt;1792;empregado
MC1161;1;admpl;SP;primario;solt;6700;outros
MC1162;1;admpl;SP;secundario;solt;6528;func_publico
MC1163;0;inad;SP;secundario;solt;4020;func_publico
MC1164;0;inad;SP;superior;solt;1099;empregado
MC1165;0;inad;SP;superior;solt;327;empregado
MC1166;1;admpl;SP;primario;viuvo;655;empregado
MC1167;1;admpl;SP;secundario;solt;6092;empregado
MC1168;1;admpl;SP;secundario;solt;5360;outros
MC1169;1;admpl;SP;secundario;solt;683;vivederenda
MC1170;0;inad;SP;superior;solt;1474;empregado
MC1171;1;admpl;SP;secundario;solt;11869;func_publico
MC1172;0;inad;SP;primario;solt;4020;empregado
MC1173;1;admpl;SP;secundario;divorciado;2161;func_publico
MC1174;1;admpl;SP;superior;casado;2680;empregado
MC1175;1;admpl;SP;primario;viuvo;975;empregado
MC1176;0;inad;SP;superior;divorciado;3752;aposentado
MC1177;0;inad;SP;secundario;solt;5340;func_publico
MC1178;0;inad;SP;secundario;solt;1340;empregado
MC1179;1;admpl;PA;secundario;casado;2343;func_publico
MC1180;1;admpl;SP;secundario;casado;2680;func_publico
MC1181;1;admpl;SP;secundario;solt;1340;empregado
MC1182;0;inad;SP;secundario;solt;3379;aposentado
MC1183;1;admpl;SP;superior;solt;6542;empregado
MC1184;0;inad;SP;primario;divorciado;683;empregado
MC1185;0;inad;SP;primario;casado;641;empregado
MC1186;0;inad;SP;superior;solt;1072;aposentado
MC1187;1;admpl;SP;secundario;divorciado;2151;func_publico
MC1188;0;inad;SP;primario;divorciado;604;aposentado
MC1189;0;inad;SP;primario;solt;6604;empregado
MC1190;0;inad;SP;superior;casado;1608;outros
MC1191;1;admpl;SP;secundario;casado;1644;func_publico
MC1192;0;inad;SP;secundario;solt;2680;outros
MC1193;0;inad;SP;secundario;divorciado;6700;empregado
MC1194;0;inad;SP;secundario;viuvo;22652;empregado
MC1195;0;inad;SP;superior;solt;211;empregado
MC1196;0;inad;SP;superior;solt;1761;func_publico
MC1197;1;admpl;SP;secundario;solt;5167;empregado
MC1198;0;inad;SP;secundario;solt;38182;empregado
MC1199;0;inad;SP;primario;solt;2804;empregado
MC1200;0;inad;SP;secundario;solt;5506;empresario
MC1201;0;inad;SP;secundario;solt;9380;func_publico
MC1202;1;admpl;SP;secundario;solt;4020;func_publico
MC1203;0;inad;SP;secundario;solt;5294;func_publico
MC1204;1;admpl;SP;secundario;solt;1260;func_publico
MC1205;0;inad;SP;secundario;viuvo;4360;outros
MC1206;0;inad;SP;posgrad;solt;50;empregado
MC1207;1;admpl;SP;secundario;solt;1608;func_publico
MC1208;0;inad;SP;superior;solt;804;empregado
MC1209;0;inad;SP;secundario;solt;104;func_publico
MC1210;1;admpl;SP;superior;casado;2010;outros
MC1211;1;admpl;SP;primario;viuvo;380;empregado
MC1212;0;inad;SP;secundario;solt;3666;outros
MC1213;1;admpl;SP;superior;casado;1703;func_publico
MC1214;1;admpl;SP;posgrad;solt;3588;vivederenda
MC1215;1;admpl;SP;secundario;solt;2656;func_publico
MC1216;1;admpl;PR;secundario;casado;2163;func_publico
MC1217;0;inad;SP;primario;divorciado;10819;empresario
MC1218;1;admpl;SP;superior;viuvo;603;func_publico
MC1219;1;admpl;SP;superior;solt;1242;empregado
MC1220;1;admpl;SP;primario;solt;1675;empregado
MC1221;0;inad;SP;secundario;solt;20167;empregado
MC1222;1;admpl;SP;primario;casado;616;empregado
MC1223;0;inad;SP;primario;solt;1447;outros
MC1224;0;inad;SP;secundario;solt;2144;aposentado
MC1225;1;admpl;SP;superior;solt;2144;vivederenda
MC1226;1;admpl;SP;secundario;viuvo;13007;outros
MC1227;1;admpl;SP;superior;solt;1608;empregado
MC1228;1;admpl;SP;superior;solt;1503;func_publico
MC1229;1;admpl;SP;primario;solt;8013;empregado
MC1230;1;admpl;SP;secundario;solt;3591;empregado
MC1231;1;admpl;SP;secundario;solt;731;empregado
MC1232;0;inad;SP;superior;solt;1924;empregado
MC1233;0;inad;SP;primario;solt;48;empregado
MC1234;0;inad;SP;secundario;solt;8040;func_publico
MC1235;1;admpl;SP;secundario;casado;7838;empregado
MC1236;0;inad;SP;superior;solt;2680;outros
MC1237;0;inad;SP;secundario;solt;4140;aposentado
MC1238;0;inad;SP;primario;divorciado;486;empregado
MC1239;0;inad;SP;secundario;solt;5083;func_publico
MC1240;0;inad;SP;secundario;solt;18760;empregado
MC1241;1;admpl;SP;superior;solt;2828;func_publico
MC1242;0;inad;SP;secundario;solt;8790;aposentado
MC1243;1;admpl;SP;primario;solt;755;empregado
MC1244;1;admpl;SP;secundario;solt;3455;empregado
MC1245;0;inad;SP;primario;casado;4044;vivederenda
MC1246;1;admpl;SP;secundario;casado;4154;empregado
MC1247;1;admpl;SP;superior;solt;1876;outros
MC1248;0;inad;SP;posgrad;solt;2852;empregado
MC1249;0;inad;SP;secundario;divorciado;1938;func_publico
MC1250;0;inad;SP;secundario;solt;1273;aposentado
MC1251;0;inad;SP;superior;divorciado;764;func_publico
MC1252;0;inad;SP;primario;solt;1172;empregado
MC1253;0;inad;SP;superior;casado;1058;empregado
MC1254;0;inad;MG;primario;casado;536;aposentado
MC1255;1;admpl;SP;primario;solt;1611;empregado
MC1256;0;inad;SP;superior;solt;2737;empregado
MC1257;1;admpl;SP;secundario;solt;938;outros
MC1258;1;admpl;SP;posgrad;casado;8040;empregado
MC1259;1;admpl;MG;secundario;casado;1286;empregado
MC1260;0;inad;SP;secundario;divorciado;3054;empregado
MC1261;1;admpl;SP;superior;solt;2412;empregado
MC1262;0;inad;MG;superior;casado;1537;vivederenda
MC1263;1;admpl;MG;superior;solt;1514;empregado
MC1264;0;inad;SP;secundario;solt;1340;func_publico
MC1265;1;admpl;SP;superior;casado;825;func_publico
MC1266;0;inad;SP;secundario;divorciado;1909;func_publico
MC1267;1;admpl;SP;primario;solt;1018;empregado
MC1268;0;inad;SP;secundario;solt;215;func_publico
MC1269;0;inad;SP;secundario;solt;21584;func_publico
MC1270;0;inad;SP;primario;solt;4690;empregado
MC1271;1;admpl;SP;superior;divorciado;4431;func_publico
MC1272;0;inad;MG;superior;solt;5360;empregado
MC1273;0;inad;SP;superior;casado;1610;empregado
MC1274;1;admpl;SP;secundario;solt;1072;outros
MC1275;0;inad;MG;superior;solt;804;empregado
MC1276;1;admpl;MG;secundario;solt;2489;empregado
MC1277;1;admpl;SP;secundario;solt;4114;func_publico
MC1278;0;inad;MG;secundario;casado;1948;empregado
MC1279;1;admpl;SP;superior;solt;2278;empregado
MC1280;1;admpl;SP;superior;casado;1475;func_publico
MC1281;1;admpl;SP;superior;solt;5484;aposentado
MC1282;1;admpl;SP;secundario;solt;3764;outros
MC1283;1;admpl;SP;secundario;solt;4020;outros
MC1284;1;admpl;SP;secundario;casado;4020;vivederenda
MC1285;1;admpl;SP;superior;casado;2144;empregado
MC1286;0;inad;SP;secundario;casado;4511;empregado
MC1287;1;admpl;SP;primario;solt;1226;outros
MC1288;1;admpl;SP;posgrad;solt;6647;empregado
MC1289;0;inad;SP;primario;casado;536;empregado
MC1290;1;admpl;SP;secundario;solt;2651;func_publico
MC1291;1;admpl;SP;secundario;solt;9246;func_publico
MC1292;0;inad;SP;superior;divorciado;2010;outros
MC1293;0;inad;SP;secundario;solt;13400;autonomo
MC1294;0;inad;SP;superior;casado;1151;func_publico
MC1295;0;inad;MG;secundario;solt;7317;empregado
MC1296;0;inad;BA;secundario;casado;7785;empregado
MC1297;0;inad;SP;secundario;solt;2474;empregado
MC1298;0;inad;SP;superior;solt;132158;empregado
MC1299;0;inad;SP;secundario;solt;5484;vivederenda
MC1300;0;inad;SP;secundario;solt;1984;empregado
MC1301;1;admpl;SP;superior;solt;3536;empregado
MC1302;1;admpl;SP;secundario;solt;3820;func_publico
MC1303;1;admpl;SP;secundario;solt;1549;func_publico
MC1304;1;admpl;SP;superior;solt;1616;empregado
MC1305;0;inad;SP;secundario;solt;5435;empregado
MC1306;0;inad;SP;primario;solt;1149;empregado
MC1307;0;inad;SP;primario;solt;2501;empregado
MC1308;0;inad;SP;secundario;solt;4331;func_publico
MC1309;1;admpl;SP;primario;solt;719;empregado
MC1310;0;inad;SP;superior;solt;2160;vivederenda
MC1311;0;inad;MG;secundario;solt;2257;func_publico
MC1312;0;inad;SP;secundario;solt;1225;aposentado
MC1313;1;admpl;SP;secundario;solt;17590;func_publico
MC1314;0;inad;SP;superior;solt;2465;aposentado
MC1315;0;inad;SP;secundario;solt;1174;func_publico
MC1316;0;inad;PR;primario;casado;1340;aposentado
MC1317;1;admpl;SP;primario;solt;1608;aposentado
MC1318;1;admpl;SP;secundario;viuvo;2680;func_publico
MC1319;0;inad;PR;secundario;solt;6700;aposentado
MC1320;0;inad;SP;primario;solt;2680;empregado
MC1321;0;inad;SP;secundario;solt;59378;empregado
MC1322;0;inad;SP;secundario;solt;2680;empregado
MC1323;1;admpl;SP;secundario;solt;2010;outros
MC1324;1;admpl;SP;superior;casado;2867;empregado
MC1325;1;admpl;SP;posgrad;casado;2497;func_publico
MC1326;1;admpl;SP;secundario;viuvo;6958;empregado
MC1327;1;admpl;SP;superior;viuvo;855;empregado
MC1328;1;admpl;SP;primario;solt;1735;func_publico
MC1329;0;inad;SP;secundario;solt;2948;empregado
MC1330;1;admpl;SP;secundario;casado;819;empregado
MC1331;1;admpl;SP;secundario;solt;1072;aposentado
MC1332;0;inad;SP;secundario;solt;178;empregado
MC1333;0;inad;SP;secundario;solt;4009;empregado
MC1334;1;admpl;SP;primario;solt;1212;outros
MC1335;0;inad;SP;secundario;solt;6700;empregado
MC1336;0;inad;SP;superior;solt;1314;empregado
MC1337;1;admpl;SP;primario;solt;1532;empregado
MC1338;0;inad;SP;primario;solt;1340;outros
MC1339;0;inad;MG;secundario;divorciado;3541;func_publico
MC1340;0;inad;SP;superior;solt;804;outros
MC1341;1;admpl;SP;posgrad;solt;1736;empregado
MC1342;1;admpl;SP;secundario;solt;4894;empregado
MC1343;0;inad;SP;superior;casado;2680;empregado
MC1344;1;admpl;SP;secundario;solt;2680;empregado
MC1345;1;admpl;SP;secundario;solt;6220;func_publico
MC1346;0;inad;SP;superior;outros;2831;aposentado
MC1347;1;admpl;SP;superior;solt;6729;empregado
MC1348;1;admpl;SP;superior;solt;2283;empregado
MC1349;1;admpl;SP;secundario;solt;3231;empregado
MC1350;1;admpl;SP;secundario;casado;2696;empregado
MC1351;0;inad;SP;primario;solt;1382;empregado
MC1352;1;admpl;SP;secundario;viuvo;1541;func_publico
MC1353;0;inad;SP;secundario;solt;24393;empregado
MC1354;1;admpl;SP;secundario;solt;5290;func_publico
MC1355;0;inad;SP;secundario;solt;279;empregado
MC1356;0;inad;SP;secundario;solt;15917;aposentado
MC1357;1;admpl;SP;primario;solt;3442;empresario
MC1358;0;inad;SP;primario;solt;878;empregado
MC1359;1;admpl;SP;superior;solt;6331;func_publico
MC1360;1;admpl;SP;primario;viuvo;900;outros
MC1361;1;admpl;SP;secundario;solt;7967;empregado
MC1362;1;admpl;SP;primario;casado;1393;empregado
MC1363;1;admpl;SP;secundario;solt;26442;outros
MC1364;1;admpl;SP;secundario;casado;2;empregado
MC1365;1;admpl;SP;secundario;solt;1394;func_publico
MC1366;0;inad;SP;superior;casado;487;empregado
MC1367;1;admpl;SP;superior;casado;6236;empregado
MC1368;1;admpl;SP;superior;solt;4020;func_publico
MC1369;0;inad;SP;secundario;solt;16806;func_publico
MC1370;1;admpl;SP;superior;solt;2378;empregado
MC1371;0;inad;SP;superior;solt;4310;empregado
MC1372;1;admpl;SP;secundario;solt;12205;empregado
MC1373;0;inad;SP;primario;casado;2412;aposentado
MC1374;0;inad;SP;superior;solt;2773;empregado
MC1375;0;inad;SP;secundario;solt;1214;empregado
MC1376;0;inad;SP;primario;divorciado;938;outros
MC1377;1;admpl;SP;superior;casado;3045;func_publico
MC1378;1;admpl;SP;superior;casado;6030;vivederenda
MC1379;1;admpl;SP;superior;solt;1755;outros
MC1380;1;admpl;SP;superior;divorciado;3450;func_publico
MC1381;0;inad;SP;superior;divorciado;5360;outros
MC1382;1;admpl;SP;secundario;viuvo;1340;func_publico
MC1383;1;admpl;SP;secundario;solt;6864;func_publico
MC1384;1;admpl;SP;secundario;casado;884;empregado
MC1385;1;admpl;SP;posgrad;solt;3216;empregado
MC1386;1;admpl;SP;secundario;solt;10106;empregado
MC1387;1;admpl;SP;secundario;casado;13400;func_publico
MC1388;0;inad;SP;primario;solt;1492;empregado
MC1389;0;inad;MG;superior;solt;1333;aposentado
MC1390;1;admpl;SP;superior;solt;1539;empregado
MC1391;1;admpl;SP;secundario;solt;2731;empregado
MC1392;0;inad;SP;primario;solt;2031;empregado
MC1393;0;inad;SP;primario;solt;6700;aposentado
MC1394;1;admpl;SP;secundario;solt;11706;func_publico
MC1395;0;inad;SP;secundario;solt;10169;empregado
MC1396;1;admpl;SP;primario;viuvo;1453;func_publico
MC1397;0;inad;SP;primario;solt;5108;outros
MC1398;1;admpl;SP;secundario;viuvo;5021;func_publico
MC1399;1;admpl;SP;superior;casado;4723;empregado
MC1400;1;admpl;SP;secundario;solt;2942;empregado
MC1401;1;admpl;SP;superior;casado;1645;empregado
MC1402;1;admpl;SP;superior;viuvo;5803;outros
MC1403;0;inad;SP;secundario;solt;8040;aposentado
MC1404;1;admpl;SP;secundario;solt;19347;empregado
MC1405;0;inad;SP;primario;divorciado;380;empregado
MC1406;1;admpl;SP;superior;casado;1014;func_publico
MC1407;1;admpl;MG;superior;solt;7935;outros
MC1408;0;inad;SP;superior;solt;670;outros
MC1409;0;inad;SP;superior;solt;9201;outros
MC1410;1;admpl;SP;secundario;solt;4128;autonomo
MC1411;1;admpl;SP;superior;casado;1608;func_publico
MC1412;1;admpl;SP;primario;casado;928;empregado
MC1413;0;inad;SP;secundario;casado;2137;outros
MC1414;0;inad;SP;superior;solt;1144;func_publico
MC1415;1;admpl;SP;primario;solt;1205;func_publico
MC1416;1;admpl;SP;posgrad;solt;2278;outros
MC1417;0;inad;SP;secundario;solt;52;empregado
MC1418;1;admpl;SP;secundario;viuvo;7462;empregado
MC1419;1;admpl;SP;secundario;solt;6030;empregado
MC1420;1;admpl;SP;secundario;viuvo;5413;func_publico
MC1421;1;admpl;SP;superior;solt;4779;empregado
MC1422;1;admpl;MG;superior;solt;392;func_publico
MC1423;0;inad;SP;secundario;casado;2778;func_publico
MC1424;0;inad;SP;secundario;outros;6665;empregado
MC1425;1;admpl;SP;primario;solt;938;empregado
MC1426;0;inad;SP;primario;viuvo;703;empregado
MC1427;1;admpl;MG;posgrad;casado;3918;empregado
MC1428;1;admpl;SP;superior;casado;7522;func_publico
MC1429;1;admpl;SP;secundario;casado;5290;func_publico
MC1430;1;admpl;SP;primario;solt;1072;empresario
MC1431;0;inad;SP;secundario;solt;3350;outros
MC1432;1;admpl;SP;primario;solt;1800;func_publico
MC1433;1;admpl;SP;secundario;viuvo;2484;empregado
MC1434;1;admpl;SP;secundario;solt;5631;empregado
MC1435;1;admpl;SP;primario;solt;1072;func_publico
MC1436;1;admpl;SP;secundario;casado;8204;vivederenda
MC1437;1;admpl;SP;primario;solt;1541;aposentado
MC1438;0;inad;MS;secundario;solt;6700;empresario
MC1439;1;admpl;SP;secundario;solt;7102;outros
MC1440;0;inad;SP;primario;solt;927;func_publico
MC1441;0;inad;SP;secundario;solt;4428;empregado
MC1442;1;admpl;SP;superior;solt;1250;empregado
MC1443;0;inad;SP;superior;viuvo;5685;func_publico
MC1444;1;admpl;SP;secundario;solt;5512;func_publico
MC1445;1;admpl;SP;secundario;casado;6344;func_publico
MC1446;0;inad;SP;secundario;casado;6792;func_publico
MC1447;1;admpl;SP;secundario;solt;12210;empregado
MC1448;1;admpl;SP;secundario;solt;3911;func_publico
MC1449;1;admpl;MG;primario;casado;256;autonomo
MC1450;0;inad;SP;secundario;viuvo;548;vivederenda
MC1451;1;admpl;MG;secundario;solt;1005;empregado
MC1452;1;admpl;SP;posgrad;casado;1299;outros
MC1453;0;inad;SP;secundario;solt;965;prof_liberal
MC1454;1;admpl;SP;secundario;solt;4924;empregado
MC1455;0;inad;SP;superior;solt;177020;autonomo
MC1456;1;admpl;SP;secundario;solt;4020;empregado
MC1457;1;admpl;SP;secundario;solt;2680;empregado
MC1458;0;inad;SP;superior;solt;1340;aposentado
MC1459;0;inad;SP;secundario;solt;10050;aposentado
MC1460;1;admpl;SP;secundario;solt;2069;empregado
MC1461;1;admpl;SP;superior;solt;3963;empregado
MC1462;1;admpl;SP;superior;casado;457;empregado
MC1463;0;inad;SP;superior;solt;1710;empregado
MC1464;1;admpl;SP;secundario;casado;804;outros
MC1465;1;admpl;SP;secundario;solt;1608;func_publico
MC1466;0;inad;SP;secundario;casado;1072;outros
MC1467;1;admpl;SP;primario;solt;13400;outros
MC1468;0;inad;SP;superior;casado;6687;empregado
MC1469;0;inad;SP;secundario;solt;1783;func_publico
MC1470;1;admpl;SP;secundario;solt;14070;outros
MC1471;0;inad;SP;secundario;viuvo;16258;empregado
MC1472;1;admpl;SP;posgrad;casado;1222;empregado
MC1473;0;inad;SP;secundario;solt;13400;empresario
MC1474;1;admpl;SP;primario;casado;2010;empregado
MC1475;0;inad;SP;superior;solt;1876;aposentado
MC1476;0;inad;SP;secundario;solt;1681;aposentado
MC1477;0;inad;SP;superior;solt;1751;empregado
MC1478;1;admpl;SP;secundario;viuvo;5092;empregado
MC1479;0;inad;SP;primario;casado;2144;outros
MC1480;0;inad;SP;secundario;solt;26800;empregado
MC1481;1;admpl;SP;primario;solt;709;func_publico
MC1482;1;admpl;SP;superior;casado;2868;func_publico
MC1483;1;admpl;SP;primario;solt;2278;empregado
MC1484;1;admpl;SP;posgrad;solt;3778;empregado
MC1485;0;inad;SP;superior;solt;373;empregado
MC1486;1;admpl;SP;superior;solt;1437;empregado
MC1487;0;inad;SP;secundario;divorciado;1283;func_publico
MC1488;0;inad;SP;superior;casado;2680;outros
MC1489;0;inad;SP;secundario;casado;2023;outros
MC1490;1;admpl;SP;secundario;solt;1656;func_publico
MC1491;0;inad;SP;secundario;solt;289;empregado
MC1492;1;admpl;SP;primario;solt;3484;outros
MC1493;1;admpl;SP;secundario;solt;3183;empregado
MC1494;1;admpl;SP;primario;solt;1460;empregado
MC1495;1;admpl;SP;secundario;casado;1595;empregado
MC1496;1;admpl;SP;secundario;solt;2788;empregado
MC1497;1;admpl;SP;superior;solt;938;empregado
MC1498;0;inad;SP;secundario;solt;678;empregado
MC1499;1;admpl;SP;superior;solt;1033;empregado
MC1500;0;inad;SP;secundario;solt;4889;empregado
MC1501;1;admpl;SP;superior;solt;4020;vivederenda
MC1502;0;inad;SP;secundario;solt;9602;empregado
MC1503;0;inad;SP;secundario;solt;3519;func_publico
MC1504;0;inad;SP;secundario;solt;6700;empregado
MC1505;1;admpl;SP;superior;solt;1192;empregado
